Year,Origin_Country_Code,Origin_Country,Holiday_Leisure,Personal,Business,Visit_friend_family,total_trips
2015,EL,Greece,15403119.0,21810145.0,1449744.0,5142148.0,43805156.0
2015,ES,Spain,258125591.0,517524240.0,28120392.0,221557148.0,1025327371.0
2015,FI,Finland,67111958.0,131926019.0,20366388.0,57398092.0,276802457.0
2015,FR,France,323329257.0,732442569.0,64184100.0,366125011.0,1486080937.0
2015,HR,Croatia,11444579.0,22613991.0,3854722.0,7463424.0,45376716.0
2015,HU,Hungary,34911276.0,69135792.0,3185180.0,33010876.0,140243124.0
2015,IE,Ireland,27749723.0,46880240.0,4652430.0,12803151.0,92085544.0
2015,IT,Italy,117106678.0,175501391.0,27574332.0,53703828.0,373886229.0
2015,LT,Lithuania,6736135.0,15185253.0,2907077.0,6568292.0,31396757.0
2015,LU,Luxembourg,4271042.0,5878146.0,1010182.0,1385146.0,12544516.0
2015,LV,Latvia,7454201.0,15889438.0,960993.0,7785611.0,32090243.0
2015,MT,Malta,1835620.0,2070957.0,325191.0,146530.0,4378298.0
2015,NL,Netherlands,115259013.0,157238988.0,9526491.0,41587417.0,323611909.0
2015,NO,Norway,45521450.0,71519184.0,18554439.0,16452847.0,152047920.0
2015,PL,Poland,86451103.0,194801987.0,8305239.0,95843144.0,385401473.0
2015,PT,Portugal,26359922.0,56685020.0,6454140.0,27406812.0,116905894.0
2015,RO,Romania,25722056.0,64283726.0,2700029.0,36106950.0,128812761.0
2015,SE,Sweden,83768467.0,141019816.0,19840156.0,44234292.0,288862731.0
2015,SI,Slovenia,12283656.0,15476628.0,2062975.0,2870840.0,32694099.0
2015,SK,Slovakia,16190879.0,27936200.0,4674160.0,10304740.0,59105979.0
2016,AT,Austria,58696140.0,78731881.0,15512736.0,17342660.0,170283417.0
2016,BE,Belgium,49852645.0,58468628.0,5651555.0,7412220.0,121385048.0
2016,BG,Bulgaria,8248808.0,13679107.0,657826.0,4860445.0,27446186.0
2016,CH,Switzerland,50412541.0,75820135.0,5071232.0,17323304.0,148627212.0
