Year,Country_Filter,Ori,Dest,Trips,Avg_Exp_per_Night
2022,Spain,Belgium_ES_20,Belgium.,510072,152
2018,Spain,Spain_,Romania_ES,560764,67
2020,Spain,Romania_ES,Romania_ES_20,86429,42
2022,Spain,Romania_ES_20,Romania.,443691,51
2018,Spain,Spain_,Netherlands_ES,815575,153
2020,Spain,Netherlands_ES,Netherlands_ES_20,96678,103
2022,Spain,Netherlands_ES_20,Netherlands.,441304,155
2018,Spain,Spain_,Switzerland_ES,568440,167
2020,Spain,Switzerland_ES,Switzerland_ES_20,42016,88
2022,Spain,Switzerland_ES_20,Switzerland.,236415,84
2018,Sweden,Sweden_,Sweden_SE,71371818,95
2020,Sweden,Sweden_SE,Sweden_SE_20,99661865,63
2022,Sweden,Sweden_SE_20,Sweden.,124801656,90
2018,Sweden,Sweden_,Italy_SE,1822824,251
2020,Sweden,Italy_SE,Italy_SE_20,155253,187
2022,Sweden,Italy_SE_20,Italy.,4442877,160
2018,Sweden,Sweden_,Spain_SE,4875466,203
2020,Sweden,Spain_SE,Spain_SE_20,891478,144
2022,Sweden,Spain_SE_20,Spain.,3929585,110
2018,Sweden,Sweden_,Germany_SE,2639886,211
2020,Sweden,Germany_SE,Germany_SE_20,519394,69
2022,Sweden,Germany_SE_20,Germany.,2093113,249
2018,Sweden,Sweden_,Denmark_SE,3492138,293
2020,Sweden,Denmark_SE,Denmark_SE_20,888169,183
2022,Sweden,Denmark_SE_20,Denmark.,2073957,194
2018,Sweden,Sweden_,Finland_SE,2430214,157
2020,Sweden,Finland_SE,Finland_SE_20,875255,162
2022,Sweden,Finland_SE_20,Finland.,1982584,196
2018,Sweden,Sweden_,United Kingdom_SE,2305532,231
2020,Sweden,United Kingdom_SE,United Kingdom_SE_20,154789,165
2022,Sweden,United Kingdom_SE_20,United Kingdom.,1722017,138
2018,Sweden,Sweden_,France_SE,1490106,176
2020,Sweden,France_SE,France_SE_20,373499,126
2022,Sweden,France_SE_20,France.,1682977,212
