Year,Origin_Country_Code,Origin_Country,Destination_Country_Code,Destination_Country,Purpose,Duration,Trips
2019,AL,Albania,AT,Austria,Personal reasons,From 1 to 3 nights,11878.0
2019,AT,Austria,AT,Austria,Personal reasons,From 1 to 3 nights,7909105.0
2022,AT,Austria,AT,Austria,Personal reasons,From 1 to 3 nights,8407853.0
2019,CH,Switzerland,AT,Austria,Personal reasons,From 1 to 3 nights,292469.0
2019,CZ,Czechia,AT,Austria,Personal reasons,From 1 to 3 nights,282668.0
2022,CZ,Czechia,AT,Austria,Personal reasons,From 1 to 3 nights,208670.0
2019,DE,Germany,AT,Austria,Personal reasons,From 1 to 3 nights,3344173.0
2022,DE,Germany,AT,Austria,Personal reasons,From 1 to 3 nights,3466011.0
2019,ES,Spain,AT,Austria,Personal reasons,From 1 to 3 nights,89438.0
2019,FR,France,AT,Austria,Personal reasons,From 1 to 3 nights,72253.0
2019,HR,Croatia,AT,Austria,Personal reasons,From 1 to 3 nights,99092.0
2022,HR,Croatia,AT,Austria,Personal reasons,From 1 to 3 nights,57704.0
2019,HU,Hungary,AT,Austria,Personal reasons,From 1 to 3 nights,481474.0
2022,HU,Hungary,AT,Austria,Personal reasons,From 1 to 3 nights,508667.0
2019,IT,Italy,AT,Austria,Personal reasons,From 1 to 3 nights,357754.0
2022,IT,Italy,AT,Austria,Personal reasons,From 1 to 3 nights,283010.0
2019,LU,Luxembourg,AT,Austria,Personal reasons,From 1 to 3 nights,17205.0
2022,LU,Luxembourg,AT,Austria,Personal reasons,From 1 to 3 nights,14007.0
2019,NL,Netherlands,AT,Austria,Personal reasons,From 1 to 3 nights,104510.0
2022,NL,Netherlands,AT,Austria,Personal reasons,From 1 to 3 nights,101643.0
2019,PL,Poland,AT,Austria,Personal reasons,From 1 to 3 nights,53263.0
2022,PL,Poland,AT,Austria,Personal reasons,From 1 to 3 nights,70033.0
2019,RO,Romania,AT,Austria,Personal reasons,From 1 to 3 nights,36283.0
2019,SI,Slovenia,AT,Austria,Personal reasons,From 1 to 3 nights,114105.0
2022,SI,Slovenia,AT,Austria,Personal reasons,From 1 to 3 nights,60833.0
2019,SK,Slovakia,AT,Austria,Personal reasons,From 1 to 3 nights,182150.0
2022,SK,Slovakia,AT,Austria,Personal reasons,From 1 to 3 nights,94837.0
2019,AL,Albania,AT,Austria,Personal reasons,1 night or over,19111.0
2019,AT,Austria,AT,Austria,Personal reasons,1 night or over,11130760.0
2022,AT,Austria,AT,Austria,Personal reasons,1 night or over,11649218.0
2019,BE,Belgium,AT,Austria,Personal reasons,1 night or over,353562.0
2022,BE,Belgium,AT,Austria,Personal reasons,1 night or over,330489.0
2019,CH,Switzerland,AT,Austria,Personal reasons,1 night or over,787723.0
2019,CY,Cyprus,AT,Austria,Personal reasons,1 night or over,26691.0
2019,CZ,Czechia,AT,Austria,Personal reasons,1 night or over,692036.0
2022,CZ,Czechia,AT,Austria,Personal reasons,1 night or over,536784.0
2019,DE,Germany,AT,Austria,Personal reasons,1 night or over,10763642.0
2022,DE,Germany,AT,Austria,Personal reasons,1 night or over,11160614.0
2019,DK,Denmark,AT,Austria,Personal reasons,1 night or over,235130.0
2019,EL,Greece,AT,Austria,Personal reasons,1 night or over,38052.0
2022,EL,Greece,AT,Austria,Personal reasons,1 night or over,12609.0
2019,ES,Spain,AT,Austria,Personal reasons,1 night or over,201952.0
2022,ES,Spain,AT,Austria,Personal reasons,1 night or over,166530.0
2019,FI,Finland,AT,Austria,Personal reasons,1 night or over,88532.0
2019,FR,France,AT,Austria,Personal reasons,1 night or over,361556.0
2022,FR,France,AT,Austria,Personal reasons,1 night or over,302866.0
2019,HR,Croatia,AT,Austria,Personal reasons,1 night or over,159410.0
2022,HR,Croatia,AT,Austria,Personal reasons,1 night or over,87851.0
2019,HU,Hungary,AT,Austria,Personal reasons,1 night or over,674656.0
2022,HU,Hungary,AT,Austria,Personal reasons,1 night or over,802202.0
2019,IE,Ireland,AT,Austria,Personal reasons,1 night or over,67465.0
2019,IT,Italy,AT,Austria,Personal reasons,1 night or over,451271.0
2022,IT,Italy,AT,Austria,Personal reasons,1 night or over,408050.0
2019,LT,Lithuania,AT,Austria,Personal reasons,1 night or over,13034.0
2022,LT,Lithuania,AT,Austria,Personal reasons,1 night or over,15749.0
2019,LU,Luxembourg,AT,Austria,Personal reasons,1 night or over,80000.0
2022,LU,Luxembourg,AT,Austria,Personal reasons,1 night or over,78934.0
2019,MT,Malta,AT,Austria,Personal reasons,1 night or over,15293.0
2022,MT,Malta,AT,Austria,Personal reasons,1 night or over,10815.0
2019,NL,Netherlands,AT,Austria,Personal reasons,1 night or over,1126711.0
2022,NL,Netherlands,AT,Austria,Personal reasons,1 night or over,1323987.0
2019,PL,Poland,AT,Austria,Personal reasons,1 night or over,411369.0
2022,PL,Poland,AT,Austria,Personal reasons,1 night or over,275580.0
2019,PT,Portugal,AT,Austria,Personal reasons,1 night or over,16866.0
2022,PT,Portugal,AT,Austria,Personal reasons,1 night or over,16252.0
2019,RO,Romania,AT,Austria,Personal reasons,1 night or over,136826.0
2022,RO,Romania,AT,Austria,Personal reasons,1 night or over,93472.0
2019,SE,Sweden,AT,Austria,Personal reasons,1 night or over,179221.0
2019,SI,Slovenia,AT,Austria,Personal reasons,1 night or over,154762.0
2022,SI,Slovenia,AT,Austria,Personal reasons,1 night or over,84075.0
2019,SK,Slovakia,AT,Austria,Personal reasons,1 night or over,351360.0
2022,SK,Slovakia,AT,Austria,Personal reasons,1 night or over,207321.0
2019,AT,Austria,AT,Austria,Personal reasons,4 nights or over,3221655.0
2022,AT,Austria,AT,Austria,Personal reasons,4 nights or over,3241365.0
2019,BE,Belgium,AT,Austria,Personal reasons,4 nights or over,310710.0
2022,BE,Belgium,AT,Austria,Personal reasons,4 nights or over,288237.0
2019,CH,Switzerland,AT,Austria,Personal reasons,4 nights or over,495254.0
2019,CZ,Czechia,AT,Austria,Personal reasons,4 nights or over,409368.0
2022,CZ,Czechia,AT,Austria,Personal reasons,4 nights or over,328114.0
2019,DE,Germany,AT,Austria,Personal reasons,4 nights or over,7419469.0
2022,DE,Germany,AT,Austria,Personal reasons,4 nights or over,7694603.0
2019,DK,Denmark,AT,Austria,Personal reasons,4 nights or over,198845.0
2019,EL,Greece,AT,Austria,Personal reasons,4 nights or over,29168.0
2019,ES,Spain,AT,Austria,Personal reasons,4 nights or over,112514.0
2022,ES,Spain,AT,Austria,Personal reasons,4 nights or over,139377.0
2019,FI,Finland,AT,Austria,Personal reasons,4 nights or over,77945.0
2019,FR,France,AT,Austria,Personal reasons,4 nights or over,289303.0
2022,FR,France,AT,Austria,Personal reasons,4 nights or over,261744.0
2019,HR,Croatia,AT,Austria,Personal reasons,4 nights or over,60318.0
2022,HR,Croatia,AT,Austria,Personal reasons,4 nights or over,30147.0
2019,HU,Hungary,AT,Austria,Personal reasons,4 nights or over,193182.0
2022,HU,Hungary,AT,Austria,Personal reasons,4 nights or over,293535.0
2019,IE,Ireland,AT,Austria,Personal reasons,4 nights or over,58385.0
2022,IT,Italy,AT,Austria,Personal reasons,4 nights or over,125040.0
2019,LT,Lithuania,AT,Austria,Personal reasons,4 nights or over,8887.0
2022,LT,Lithuania,AT,Austria,Personal reasons,4 nights or over,14647.0
2019,LU,Luxembourg,AT,Austria,Personal reasons,4 nights or over,62795.0
2022,LU,Luxembourg,AT,Austria,Personal reasons,4 nights or over,64928.0
2019,MT,Malta,AT,Austria,Personal reasons,4 nights or over,12567.0
2022,MT,Malta,AT,Austria,Personal reasons,4 nights or over,8953.0
2019,NL,Netherlands,AT,Austria,Personal reasons,4 nights or over,1022202.0
2022,NL,Netherlands,AT,Austria,Personal reasons,4 nights or over,1222344.0
2019,PL,Poland,AT,Austria,Personal reasons,4 nights or over,358106.0
2022,PL,Poland,AT,Austria,Personal reasons,4 nights or over,205547.0
2019,PT,Portugal,AT,Austria,Personal reasons,4 nights or over,15140.0
2022,PT,Portugal,AT,Austria,Personal reasons,4 nights or over,14735.0
2019,RO,Romania,AT,Austria,Personal reasons,4 nights or over,100543.0
2022,RO,Romania,AT,Austria,Personal reasons,4 nights or over,79622.0
2019,SE,Sweden,AT,Austria,Personal reasons,4 nights or over,133540.0
2019,SI,Slovenia,AT,Austria,Personal reasons,4 nights or over,40657.0
2022,SI,Slovenia,AT,Austria,Personal reasons,4 nights or over,23241.0
2019,SK,Slovakia,AT,Austria,Personal reasons,4 nights or over,169210.0
2022,SK,Slovakia,AT,Austria,Personal reasons,4 nights or over,112483.0
2019,AT,Austria,AT,Austria,"Professional, business",From 1 to 3 nights,1523970.0
2022,AT,Austria,AT,Austria,"Professional, business",From 1 to 3 nights,1478175.0
2019,DE,Germany,AT,Austria,"Professional, business",From 1 to 3 nights,788031.0
2019,HU,Hungary,AT,Austria,"Professional, business",From 1 to 3 nights,15599.0
2022,HU,Hungary,AT,Austria,"Professional, business",From 1 to 3 nights,34968.0
2019,LT,Lithuania,AT,Austria,"Professional, business",From 1 to 3 nights,8269.0
2022,PL,Poland,AT,Austria,"Professional, business",From 1 to 3 nights,23821.0
2019,AT,Austria,AT,Austria,"Professional, business",1 night or over,1804917.0
2022,AT,Austria,AT,Austria,"Professional, business",1 night or over,1770971.0
2019,DE,Germany,AT,Austria,"Professional, business",1 night or over,954645.0
2022,DE,Germany,AT,Austria,"Professional, business",1 night or over,747145.0
2019,HR,Croatia,AT,Austria,"Professional, business",1 night or over,37850.0
2019,HU,Hungary,AT,Austria,"Professional, business",1 night or over,16005.0
2022,HU,Hungary,AT,Austria,"Professional, business",1 night or over,39879.0
2019,LT,Lithuania,AT,Austria,"Professional, business",1 night or over,11113.0
2022,LT,Lithuania,AT,Austria,"Professional, business",1 night or over,5965.0
2022,NL,Netherlands,AT,Austria,"Professional, business",1 night or over,33272.0
2019,PL,Poland,AT,Austria,"Professional, business",1 night or over,38075.0
2022,PL,Poland,AT,Austria,"Professional, business",1 night or over,44438.0
2019,SI,Slovenia,AT,Austria,"Professional, business",1 night or over,34550.0
2022,SI,Slovenia,AT,Austria,"Professional, business",1 night or over,32798.0
2019,AT,Austria,AT,Austria,"Professional, business",4 nights or over,280947.0
2022,AT,Austria,AT,Austria,"Professional, business",4 nights or over,292796.0
2019,PL,Poland,AT,Austria,"Professional, business",4 nights or over,18081.0
2022,PL,Poland,AT,Austria,"Professional, business",4 nights or over,20617.0
2019,AL,Albania,AT,Austria,Total,From 1 to 3 nights,12365.0
2019,AT,Austria,AT,Austria,Total,From 1 to 3 nights,9433075.0
2022,AT,Austria,AT,Austria,Total,From 1 to 3 nights,9886029.0
2019,BE,Belgium,AT,Austria,Total,From 1 to 3 nights,52519.0
2022,BE,Belgium,AT,Austria,Total,From 1 to 3 nights,50259.0
2019,CH,Switzerland,AT,Austria,Total,From 1 to 3 nights,361659.0
2019,CZ,Czechia,AT,Austria,Total,From 1 to 3 nights,321388.0
2022,CZ,Czechia,AT,Austria,Total,From 1 to 3 nights,211640.0
2019,DE,Germany,AT,Austria,Total,From 1 to 3 nights,4132204.0
2022,DE,Germany,AT,Austria,Total,From 1 to 3 nights,4037973.0
2019,ES,Spain,AT,Austria,Total,From 1 to 3 nights,101306.0
2019,FR,France,AT,Austria,Total,From 1 to 3 nights,103770.0
2019,HR,Croatia,AT,Austria,Total,From 1 to 3 nights,128236.0
2022,HR,Croatia,AT,Austria,Total,From 1 to 3 nights,69272.0
2019,HU,Hungary,AT,Austria,Total,From 1 to 3 nights,497073.0
2022,HU,Hungary,AT,Austria,Total,From 1 to 3 nights,543635.0
2019,IT,Italy,AT,Austria,Total,From 1 to 3 nights,386880.0
2022,IT,Italy,AT,Austria,Total,From 1 to 3 nights,292139.0
2019,LT,Lithuania,AT,Austria,Total,From 1 to 3 nights,12416.0
2019,LU,Luxembourg,AT,Austria,Total,From 1 to 3 nights,20106.0
2022,LU,Luxembourg,AT,Austria,Total,From 1 to 3 nights,15838.0
2019,NL,Netherlands,AT,Austria,Total,From 1 to 3 nights,122304.0
2022,NL,Netherlands,AT,Austria,Total,From 1 to 3 nights,127156.0
2019,PL,Poland,AT,Austria,Total,From 1 to 3 nights,73256.0
2022,PL,Poland,AT,Austria,Total,From 1 to 3 nights,93854.0
2019,RO,Romania,AT,Austria,Total,From 1 to 3 nights,36283.0
2019,SI,Slovenia,AT,Austria,Total,From 1 to 3 nights,145054.0
2022,SI,Slovenia,AT,Austria,Total,From 1 to 3 nights,72191.0
2019,SK,Slovakia,AT,Austria,Total,From 1 to 3 nights,245890.0
2022,SK,Slovakia,AT,Austria,Total,From 1 to 3 nights,104161.0
2019,AL,Albania,AT,Austria,Total,1 night or over,24837.0
2019,AT,Austria,AT,Austria,Total,1 night or over,12935677.0
2022,AT,Austria,AT,Austria,Total,1 night or over,13420189.0
2019,BE,Belgium,AT,Austria,Total,1 night or over,368180.0
2022,BE,Belgium,AT,Austria,Total,1 night or over,359010.0
2019,CH,Switzerland,AT,Austria,Total,1 night or over,868928.0
2019,CY,Cyprus,AT,Austria,Total,1 night or over,33455.0
2019,CZ,Czechia,AT,Austria,Total,1 night or over,736601.0
2022,CZ,Czechia,AT,Austria,Total,1 night or over,544975.0
2019,DE,Germany,AT,Austria,Total,1 night or over,11718287.0
2022,DE,Germany,AT,Austria,Total,1 night or over,11907760.0
2019,DK,Denmark,AT,Austria,Total,1 night or over,252597.0
2019,EL,Greece,AT,Austria,Total,1 night or over,43806.0
2022,EL,Greece,AT,Austria,Total,1 night or over,12609.0
2019,ES,Spain,AT,Austria,Total,1 night or over,214963.0
2022,ES,Spain,AT,Austria,Total,1 night or over,183457.0
2019,FI,Finland,AT,Austria,Total,1 night or over,144618.0
2019,FR,France,AT,Austria,Total,1 night or over,407194.0
2022,FR,France,AT,Austria,Total,1 night or over,323846.0
2019,HR,Croatia,AT,Austria,Total,1 night or over,197260.0
2022,HR,Croatia,AT,Austria,Total,1 night or over,107839.0
2019,HU,Hungary,AT,Austria,Total,1 night or over,690661.0
2022,HU,Hungary,AT,Austria,Total,1 night or over,842081.0
2019,IE,Ireland,AT,Austria,Total,1 night or over,70630.0
2019,IT,Italy,AT,Austria,Total,1 night or over,494533.0
2022,IT,Italy,AT,Austria,Total,1 night or over,431117.0
2019,LT,Lithuania,AT,Austria,Total,1 night or over,24148.0
2022,LT,Lithuania,AT,Austria,Total,1 night or over,21714.0
2019,LU,Luxembourg,AT,Austria,Total,1 night or over,84795.0
2022,LU,Luxembourg,AT,Austria,Total,1 night or over,82174.0
2019,MT,Malta,AT,Austria,Total,1 night or over,15791.0
2022,MT,Malta,AT,Austria,Total,1 night or over,10815.0
2019,NL,Netherlands,AT,Austria,Total,1 night or over,1153176.0
2022,NL,Netherlands,AT,Austria,Total,1 night or over,1357259.0
2019,PL,Poland,AT,Austria,Total,1 night or over,449444.0
2022,PL,Poland,AT,Austria,Total,1 night or over,320018.0
2019,PT,Portugal,AT,Austria,Total,1 night or over,24796.0
2022,PT,Portugal,AT,Austria,Total,1 night or over,17978.0
2019,RO,Romania,AT,Austria,Total,1 night or over,136826.0
2022,RO,Romania,AT,Austria,Total,1 night or over,94407.0
2019,SE,Sweden,AT,Austria,Total,1 night or over,235851.0
2019,SI,Slovenia,AT,Austria,Total,1 night or over,189312.0
2022,SI,Slovenia,AT,Austria,Total,1 night or over,116872.0
2019,SK,Slovakia,AT,Austria,Total,1 night or over,415100.0
2022,SK,Slovakia,AT,Austria,Total,1 night or over,221142.0
2019,AL,Albania,AT,Austria,Total,4 nights or over,12472.0
2019,AT,Austria,AT,Austria,Total,4 nights or over,3502601.0
2022,AT,Austria,AT,Austria,Total,4 nights or over,3534160.0
2019,BE,Belgium,AT,Austria,Total,4 nights or over,315660.0
2022,BE,Belgium,AT,Austria,Total,4 nights or over,308750.0
2019,CH,Switzerland,AT,Austria,Total,4 nights or over,507269.0
2019,CZ,Czechia,AT,Austria,Total,4 nights or over,415213.0
2022,CZ,Czechia,AT,Austria,Total,4 nights or over,333335.0
2019,DE,Germany,AT,Austria,Total,4 nights or over,7586083.0
2022,DE,Germany,AT,Austria,Total,4 nights or over,7869787.0
2019,DK,Denmark,AT,Austria,Total,4 nights or over,207770.0
2019,EL,Greece,AT,Austria,Total,4 nights or over,30542.0
2019,ES,Spain,AT,Austria,Total,4 nights or over,113657.0
2022,ES,Spain,AT,Austria,Total,4 nights or over,147328.0
2019,FI,Finland,AT,Austria,Total,4 nights or over,126853.0
2019,FR,France,AT,Austria,Total,4 nights or over,303423.0
2022,FR,France,AT,Austria,Total,4 nights or over,275786.0
2019,HR,Croatia,AT,Austria,Total,4 nights or over,69024.0
2022,HR,Croatia,AT,Austria,Total,4 nights or over,38568.0
2019,HU,Hungary,AT,Austria,Total,4 nights or over,193588.0
2022,HU,Hungary,AT,Austria,Total,4 nights or over,298446.0
2019,IE,Ireland,AT,Austria,Total,4 nights or over,58385.0
2022,IT,Italy,AT,Austria,Total,4 nights or over,138978.0
2019,LT,Lithuania,AT,Austria,Total,4 nights or over,11731.0
2022,LT,Lithuania,AT,Austria,Total,4 nights or over,17941.0
2019,LU,Luxembourg,AT,Austria,Total,4 nights or over,64689.0
2022,LU,Luxembourg,AT,Austria,Total,4 nights or over,66336.0
2019,MT,Malta,AT,Austria,Total,4 nights or over,12692.0
2022,MT,Malta,AT,Austria,Total,4 nights or over,8953.0
2019,NL,Netherlands,AT,Austria,Total,4 nights or over,1030873.0
2022,NL,Netherlands,AT,Austria,Total,4 nights or over,1230102.0
2019,PL,Poland,AT,Austria,Total,4 nights or over,376188.0
2022,PL,Poland,AT,Austria,Total,4 nights or over,226164.0
2019,PT,Portugal,AT,Austria,Total,4 nights or over,20535.0
2022,PT,Portugal,AT,Austria,Total,4 nights or over,14735.0
2019,RO,Romania,AT,Austria,Total,4 nights or over,100543.0
2022,RO,Romania,AT,Austria,Total,4 nights or over,80556.0
2019,SE,Sweden,AT,Austria,Total,4 nights or over,159313.0
2019,SI,Slovenia,AT,Austria,Total,4 nights or over,44258.0
2022,SI,Slovenia,AT,Austria,Total,4 nights or over,44682.0
2019,SK,Slovakia,AT,Austria,Total,4 nights or over,169210.0
2022,SK,Slovakia,AT,Austria,Total,4 nights or over,116981.0
2019,BE,Belgium,BE,Belgium,Personal reasons,From 1 to 3 nights,2782431.0
2022,BE,Belgium,BE,Belgium,Personal reasons,From 1 to 3 nights,3316240.0
2019,ES,Spain,BE,Belgium,Personal reasons,From 1 to 3 nights,95635.0
2022,ES,Spain,BE,Belgium,Personal reasons,From 1 to 3 nights,112801.0
2019,FR,France,BE,Belgium,Personal reasons,From 1 to 3 nights,1001839.0
2022,FR,France,BE,Belgium,Personal reasons,From 1 to 3 nights,954969.0
2019,HU,Hungary,BE,Belgium,Personal reasons,From 1 to 3 nights,64517.0
2019,IE,Ireland,BE,Belgium,Personal reasons,From 1 to 3 nights,31910.0
2019,LU,Luxembourg,BE,Belgium,Personal reasons,From 1 to 3 nights,121728.0
2022,LU,Luxembourg,BE,Belgium,Personal reasons,From 1 to 3 nights,153660.0
2019,MT,Malta,BE,Belgium,Personal reasons,From 1 to 3 nights,5473.0
2019,NL,Netherlands,BE,Belgium,Personal reasons,From 1 to 3 nights,946765.0
2022,NL,Netherlands,BE,Belgium,Personal reasons,From 1 to 3 nights,1524752.0
2019,PL,Poland,BE,Belgium,Personal reasons,From 1 to 3 nights,24366.0
2022,PL,Poland,BE,Belgium,Personal reasons,From 1 to 3 nights,14455.0
2022,PT,Portugal,BE,Belgium,Personal reasons,From 1 to 3 nights,24594.0
2022,AT,Austria,BE,Belgium,Personal reasons,1 night or over,58467.0
2019,BE,Belgium,BE,Belgium,Personal reasons,1 night or over,3885050.0
2022,BE,Belgium,BE,Belgium,Personal reasons,1 night or over,4458077.0
2019,DE,Germany,BE,Belgium,Personal reasons,1 night or over,1256044.0
2022,DE,Germany,BE,Belgium,Personal reasons,1 night or over,693848.0
2019,ES,Spain,BE,Belgium,Personal reasons,1 night or over,263412.0
2022,ES,Spain,BE,Belgium,Personal reasons,1 night or over,222107.0
2019,FR,France,BE,Belgium,Personal reasons,1 night or over,1536041.0
2022,FR,France,BE,Belgium,Personal reasons,1 night or over,1406831.0
2019,HU,Hungary,BE,Belgium,Personal reasons,1 night or over,96380.0
2022,HU,Hungary,BE,Belgium,Personal reasons,1 night or over,53427.0
2019,IE,Ireland,BE,Belgium,Personal reasons,1 night or over,58106.0
2022,IE,Ireland,BE,Belgium,Personal reasons,1 night or over,75845.0
2019,LT,Lithuania,BE,Belgium,Personal reasons,1 night or over,7817.0
2022,LT,Lithuania,BE,Belgium,Personal reasons,1 night or over,17975.0
2019,LU,Luxembourg,BE,Belgium,Personal reasons,1 night or over,160927.0
2022,LU,Luxembourg,BE,Belgium,Personal reasons,1 night or over,223974.0
2019,MT,Malta,BE,Belgium,Personal reasons,1 night or over,11070.0
2022,MT,Malta,BE,Belgium,Personal reasons,1 night or over,8779.0
2019,NL,Netherlands,BE,Belgium,Personal reasons,1 night or over,1531818.0
2022,NL,Netherlands,BE,Belgium,Personal reasons,1 night or over,2168563.0
2019,PL,Poland,BE,Belgium,Personal reasons,1 night or over,92630.0
2022,PL,Poland,BE,Belgium,Personal reasons,1 night or over,82655.0
2019,PT,Portugal,BE,Belgium,Personal reasons,1 night or over,25323.0
2022,PT,Portugal,BE,Belgium,Personal reasons,1 night or over,43385.0
2019,BE,Belgium,BE,Belgium,Personal reasons,4 nights or over,1102619.0
2022,BE,Belgium,BE,Belgium,Personal reasons,4 nights or over,1141837.0
2019,ES,Spain,BE,Belgium,Personal reasons,4 nights or over,167777.0
2022,ES,Spain,BE,Belgium,Personal reasons,4 nights or over,109306.0
2019,FR,France,BE,Belgium,Personal reasons,4 nights or over,534202.0
2022,FR,France,BE,Belgium,Personal reasons,4 nights or over,451862.0
2019,HU,Hungary,BE,Belgium,Personal reasons,4 nights or over,31863.0
2022,HU,Hungary,BE,Belgium,Personal reasons,4 nights or over,40813.0
2019,LT,Lithuania,BE,Belgium,Personal reasons,4 nights or over,7157.0
2022,LT,Lithuania,BE,Belgium,Personal reasons,4 nights or over,17337.0
2019,LU,Luxembourg,BE,Belgium,Personal reasons,4 nights or over,39198.0
2022,LU,Luxembourg,BE,Belgium,Personal reasons,4 nights or over,70315.0
2019,MT,Malta,BE,Belgium,Personal reasons,4 nights or over,5597.0
2022,MT,Malta,BE,Belgium,Personal reasons,4 nights or over,8004.0
2019,NL,Netherlands,BE,Belgium,Personal reasons,4 nights or over,585053.0
2022,NL,Netherlands,BE,Belgium,Personal reasons,4 nights or over,643811.0
2019,PL,Poland,BE,Belgium,Personal reasons,4 nights or over,68265.0
2022,PL,Poland,BE,Belgium,Personal reasons,4 nights or over,68200.0
2022,PT,Portugal,BE,Belgium,Personal reasons,4 nights or over,18791.0
2019,BE,Belgium,BE,Belgium,"Professional, business",From 1 to 3 nights,178206.0
2022,BE,Belgium,BE,Belgium,"Professional, business",From 1 to 3 nights,131597.0
2019,ES,Spain,BE,Belgium,"Professional, business",From 1 to 3 nights,101143.0
2019,FR,France,BE,Belgium,"Professional, business",From 1 to 3 nights,231961.0
2022,FR,France,BE,Belgium,"Professional, business",From 1 to 3 nights,299081.0
2019,LT,Lithuania,BE,Belgium,"Professional, business",From 1 to 3 nights,3829.0
2019,LU,Luxembourg,BE,Belgium,"Professional, business",From 1 to 3 nights,54618.0
2022,LU,Luxembourg,BE,Belgium,"Professional, business",From 1 to 3 nights,29189.0
2019,MT,Malta,BE,Belgium,"Professional, business",From 1 to 3 nights,11039.0
2019,NL,Netherlands,BE,Belgium,"Professional, business",From 1 to 3 nights,516352.0
2022,NL,Netherlands,BE,Belgium,"Professional, business",From 1 to 3 nights,147671.0
2022,PL,Poland,BE,Belgium,"Professional, business",From 1 to 3 nights,17016.0
2019,PT,Portugal,BE,Belgium,"Professional, business",From 1 to 3 nights,20100.0
2019,BE,Belgium,BE,Belgium,"Professional, business",1 night or over,231350.0
2022,BE,Belgium,BE,Belgium,"Professional, business",1 night or over,164171.0
2019,ES,Spain,BE,Belgium,"Professional, business",1 night or over,112153.0
2019,FR,France,BE,Belgium,"Professional, business",1 night or over,263962.0
2022,FR,France,BE,Belgium,"Professional, business",1 night or over,326709.0
2022,HU,Hungary,BE,Belgium,"Professional, business",1 night or over,29415.0
2019,IE,Ireland,BE,Belgium,"Professional, business",1 night or over,33804.0
2019,LT,Lithuania,BE,Belgium,"Professional, business",1 night or over,9347.0
2022,LT,Lithuania,BE,Belgium,"Professional, business",1 night or over,12669.0
2019,LU,Luxembourg,BE,Belgium,"Professional, business",1 night or over,56988.0
2022,LU,Luxembourg,BE,Belgium,"Professional, business",1 night or over,33489.0
2019,MT,Malta,BE,Belgium,"Professional, business",1 night or over,11887.0
2019,NL,Netherlands,BE,Belgium,"Professional, business",1 night or over,559382.0
2022,NL,Netherlands,BE,Belgium,"Professional, business",1 night or over,172071.0
2019,PL,Poland,BE,Belgium,"Professional, business",1 night or over,34581.0
2022,PL,Poland,BE,Belgium,"Professional, business",1 night or over,31385.0
2019,PT,Portugal,BE,Belgium,"Professional, business",1 night or over,28595.0
2019,BE,Belgium,BE,Belgium,"Professional, business",4 nights or over,53144.0
2022,HU,Hungary,BE,Belgium,"Professional, business",4 nights or over,17716.0
2019,LT,Lithuania,BE,Belgium,"Professional, business",4 nights or over,5517.0
2022,LT,Lithuania,BE,Belgium,"Professional, business",4 nights or over,9370.0
2022,PL,Poland,BE,Belgium,"Professional, business",4 nights or over,14369.0
2022,AT,Austria,BE,Belgium,Total,From 1 to 3 nights,34665.0
2019,BE,Belgium,BE,Belgium,Total,From 1 to 3 nights,2960637.0
2022,BE,Belgium,BE,Belgium,Total,From 1 to 3 nights,3447837.0
2019,DE,Germany,BE,Belgium,Total,From 1 to 3 nights,731073.0
2019,ES,Spain,BE,Belgium,Total,From 1 to 3 nights,196778.0
2022,ES,Spain,BE,Belgium,Total,From 1 to 3 nights,141120.0
2019,FR,France,BE,Belgium,Total,From 1 to 3 nights,1233800.0
2022,FR,France,BE,Belgium,Total,From 1 to 3 nights,1254050.0
2019,HU,Hungary,BE,Belgium,Total,From 1 to 3 nights,69403.0
2022,HU,Hungary,BE,Belgium,Total,From 1 to 3 nights,24313.0
2019,IE,Ireland,BE,Belgium,Total,From 1 to 3 nights,54646.0
2019,LT,Lithuania,BE,Belgium,Total,From 1 to 3 nights,4489.0
2019,LU,Luxembourg,BE,Belgium,Total,From 1 to 3 nights,176346.0
2022,LU,Luxembourg,BE,Belgium,Total,From 1 to 3 nights,182849.0
2019,MT,Malta,BE,Belgium,Total,From 1 to 3 nights,16512.0
2019,NL,Netherlands,BE,Belgium,Total,From 1 to 3 nights,1463117.0
2022,NL,Netherlands,BE,Belgium,Total,From 1 to 3 nights,1672423.0
2019,PL,Poland,BE,Belgium,Total,From 1 to 3 nights,45416.0
2022,PL,Poland,BE,Belgium,Total,From 1 to 3 nights,31472.0
2019,PT,Portugal,BE,Belgium,Total,From 1 to 3 nights,31628.0
2022,PT,Portugal,BE,Belgium,Total,From 1 to 3 nights,28206.0
2019,AT,Austria,BE,Belgium,Total,1 night or over,66769.0
2022,AT,Austria,BE,Belgium,Total,1 night or over,85230.0
2019,BE,Belgium,BE,Belgium,Total,1 night or over,4116400.0
2022,BE,Belgium,BE,Belgium,Total,1 night or over,4622248.0
2019,CY,Cyprus,BE,Belgium,Total,1 night or over,39024.0
2019,DE,Germany,BE,Belgium,Total,1 night or over,1523551.0
2022,DE,Germany,BE,Belgium,Total,1 night or over,978302.0
2019,ES,Spain,BE,Belgium,Total,1 night or over,375565.0
2022,ES,Spain,BE,Belgium,Total,1 night or over,255036.0
2019,FR,France,BE,Belgium,Total,1 night or over,1800003.0
2022,FR,France,BE,Belgium,Total,1 night or over,1733539.0
