Year,Origin_Country_Code,Origin_Country,Destination_Country_Code,Destination_Country,Purpose,Duration,Trips
2019,LT,Lithuania,CY,Cyprus,Total,4 nights or over,21850.0
2022,LT,Lithuania,CY,Cyprus,Total,4 nights or over,8579.0
2019,MT,Malta,CY,Cyprus,Total,4 nights or over,5757.0
2022,MT,Malta,CY,Cyprus,Total,4 nights or over,7254.0
2019,NL,Netherlands,CY,Cyprus,Total,4 nights or over,47499.0
2022,NL,Netherlands,CY,Cyprus,Total,4 nights or over,41004.0
2019,PL,Poland,CY,Cyprus,Total,4 nights or over,48333.0
2022,PL,Poland,CY,Cyprus,Total,4 nights or over,49044.0
2019,SE,Sweden,CY,Cyprus,Total,4 nights or over,87311.0
2019,AT,Austria,CZ,Czechia,Personal reasons,From 1 to 3 nights,199566.0
